C_CUSTKEY,C_EMAIL,C_ACCTBAL
2,josephine_darakjy@darakjy.org,121.65
4,lpaprocki@hotmail.com,2866.83
6,simona@morasca.com,7638.57
8,leota@hotmail.com,6819.74
10,kris@gmail.com,2753.54
12,amaclead@gmail.com,3396.49
14,gruta@cox.net,5266.30
16,mattie@aol.com,4681.03
18,gladys.rim@rim.org,5494.43
20,fletcher.flosi@yahoo.com,7603.40
22,vinouye@aol.com,591.98
24,mroyster@royster.com,9255.67
26,allene_iturbide@cox.net,5182.05
28,ezekiel@chui.com,1007.18
30,bfigeroa@aol.com,9321.01
32,francine_vocelka@vocelka.com,3471.53
34,albina@glick.com,8589.70
36,solange@shinko.com,4987.27
38,rozella.ostrosky@ostrosky.com,6345.11
40,kati.rulapaugh@hotmail.com,1335.30
42,doldroyd@aol.com,8727.01
44,lperin@perin.org,7315.94
46,fsaylors@saylors.org,5744.59
48,kanisha_waycott@yahoo.com,3792.50
50,bmalet@yahoo.com,4266.13
52,lnestle@hotmail.com,5630.28
54,mmastella@mastella.com,868.90
56,twenner@aol.com,6530.86
58,shenika@gmail.com,6478.46
60,deeanna_juhas@gmail.com,2741.87
62,jamal@vanausdal.org,595.61
64,carmelina_lindall@lindall.com,-646.64
66,tawna@gmail.com,242.77
68,elly_morocco@gmail.com,6853.37
70,vmondella@mondella.com,4867.52
72,johnetta_abdallah@aol.com,-362.86
74,micaela_rhymes@gmail.com,2764.43
76,moon@yahoo.com,5745.33
78,delisa.crupi@crupi.com,7136.97
80,elza@yahoo.com,7383.53
82,timothy_mulqueen@mulqueen.org,9468.34
84,dominque.dickerson@dickerson.org,5174.71
86,mmunns@cox.net,3306.32
88,lai.gato@gato.org,8031.44
90,tshields@gmail.com,7354.23
92,cory.gibes@gmail.com,1182.91
94,wilda@cox.net,5500.11
96,carma@cox.net,6323.92
98,natalie.fern@hotmail.com,-551.37
100,arlene_klusman@gmail.com,9889.89
102,louisa@cronauer.com,8462.17
104,cgoldammer@cox.net,-588.38
106,ckorando@hotmail.com,3288.42
108,estrella@aol.com,2259.38
