C_CUSTKEY,C_FNAME,C_LNAME,C_ADDRESS,C_COUNTY,C_CITY,C_STATE,C_ZIP,C_PHONE,C_EMAIL,C_AGE,C_GENDER,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT,C_NATIONKEY,C_EMAIL_VISIBILITY
2,Josephine,Darakjy,4 B Blue Ridge Blvd,Brighton,Livingston,MI,48116,810-292-9388,josephine_darakjy@darakjy.org,39,M,121.65,AUTOMOBILE,l accounts. blithely ironic theodolites integrate boldly: caref,13,Public
4,Lenna,Paprocki,639 Main St,Anchorage,Anchorage,AK,99501,907-385-4412,lpaprocki@hotmail.com,73,M,2866.83,MACHINERY," requests. final, regular ideas sleep final accou",4,Public
6,Simona,Morasca,3 Mcauley Dr,Ashland,Ashland,OH,44805,419-503-2484,simona@morasca.com,29,M,7638.57,AUTOMOBILE,tions. even deposits boost according to the slyly bold packages. final accounts cajole requests. furious,20,Public
8,Leota,Dilliard,7 W Jackson Blvd,San Jose,Santa Clara,CA,95111,408-752-3500,leota@hotmail.com,68,F,6819.74,BUILDING,among the slyly regular theodolites kindle blithely courts. carefully even theodolites haggle slyly along the ide,17,Public
10,Kris,Marrier,228 Runamuck Pl #2808,Baltimore,Baltimore City,MD,21224,410-655-8723,kris@gmail.com,34,F,2753.54,HOUSEHOLD,es regular deposits haggle. fur,5,Public
12,Abel,Maclead,37275 St  Rt 17m M,Middle Island,Suffolk,NY,11953,631-335-3414,amaclead@gmail.com,58,F,3396.49,HOUSEHOLD,to the carefully final braids. blithely regular requests nag. ironic theodolites boost quickly along,13,Public
14,Graciela,Ruta,98 Connecticut Ave Nw,Chagrin Falls,Geauga,OH,44023,440-780-8425,gruta@cox.net,69,M,5266.30,FURNITURE,", ironic packages across the unus",1,Public
16,Mattie,Poquette,73 State Road 434 E,Phoenix,Maricopa,AZ,85013,602-277-4385,mattie@aol.com,38,F,4681.03,FURNITURE,kly silent courts. thinly regular theodolites sleep fluffily after,10,Public
18,Gladys,Rim,322 New Horizon Blvd,Milwaukee,Milwaukee,WI,53207,414-661-9598,gladys.rim@rim.org,61,M,5494.43,BUILDING,s sleep. carefully even instructions nag furiously alongside of t,6,Public
20,Fletcher,Flosi,394 Manchester Blvd,Rockford,Winnebago,IL,61109,815-828-2147,fletcher.flosi@yahoo.com,70,F,7603.40,FURNITURE,g alongside of the special excuses-- fluffily enticing packages wake,22,Public
22,Veronika,Inouye,6 Greenleaf Ave,San Jose,Santa Clara,CA,95111,408-540-1785,vinouye@aol.com,42,F,591.98,MACHINERY,s nod furiously above the furiously ironic ideas.,3,Public
24,Maryann,Royster,74 S Westgate St,Albany,Albany,NY,12204,518-966-7987,mroyster@royster.com,58,F,9255.67,MACHINERY,into beans. fluffily final ideas haggle fluffily,13,Public
26,Allene,Iturbide,1 Central Ave,Stevens Point,Portage,WI,54481,715-662-6764,allene_iturbide@cox.net,43,M,5182.05,AUTOMOBILE,c requests use furiously ironic requests. slyly ironic dependencies us,22,Public
28,Ezekiel,Chui,2 Cedar Ave #84,Easton,Talbot,MD,21601,410-669-1642,ezekiel@chui.com,40,F,1007.18,FURNITURE,along the regular deposits. furiously final pac,8,Public
30,Bernardo,Figeroa,386 9th Ave N,Conroe,Montgomery,TX,77301,936-336-3951,bfigeroa@aol.com,55,M,9321.01,BUILDING,lithely final requests. furiously unusual account,1,Public
32,Francine,Vocelka,366 South Dr,Las Cruces,Dona Ana,NM,88011,505-977-3911,francine_vocelka@vocelka.com,20,F,3471.53,BUILDING,"cial ideas. final, furious requests across the e",15,Public
34,Albina,Glick,4 Ralph Ct,Dunellen,Middlesex,NJ,8812,732-924-7882,albina@glick.com,65,M,8589.70,HOUSEHOLD,"nder against the even, pending accounts. even",15,Public
36,Solange,Shinko,426 Wolf St,Metairie,Jefferson,LA,70002,504-979-9175,solange@shinko.com,29,M,4987.27,BUILDING,"haggle. enticing, quiet platelets grow quickly bold sheaves. carefully regular acc",21,Public
38,Rozella,Ostrosky,17 Morena Blvd,Camarillo,Ventura,CA,93012,805-832-6163,rozella.ostrosky@ostrosky.com,50,F,6345.11,HOUSEHOLD,lar excuses. closely even asymptotes cajole blithely excuses. carefully silent pinto beans sleep carefully fin,12,Public
